Data from ocean_Reflection__4__00004__02007703261897692.txt Node

Date: Tue Sep 08 11:58:22 PDT 2020
User: toddkarin
Spectrometer: HDX00626
Trigger mode: 0
Integration Time (sec): 2.000000E-1
Scans to average: 5
Nonlinearity correction enabled: true
Boxcar width: 1
Storing dark spectrum: false
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 2068
>>>>>Begin Spectral Data<<<<<
369.886	4.19
370.402	3.9
370.917	3.61
371.433	3.39
371.948	3.7
372.463	4.04
372.979	4.36
373.494	4.06
374.009	3.99
374.523	3.61
375.038	3.98
375.553	4.04
376.067	4.33
376.581	4.14
377.096	4.15
377.61	4.08
378.124	4.01
378.638	3.83
379.152	3.79
379.665	3.7
380.179	3.63
380.692	3.69
381.206	3.72
381.719	3.61
382.232	3.32
382.745	3.27
383.258	3.38
383.771	3.53
384.284	3.52
384.796	3.53
385.309	3.53
385.821	3.61
386.334	3.63
386.846	3.7
387.358	3.57
387.87	3.48
388.381	3.41
388.893	3.35
389.405	3.22
389.916	3.19
390.428	3.3
390.939	3.43
391.45	3.37
391.961	3.31
392.472	3.27
392.983	3.39
393.494	3.41
394.004	3.33
394.515	3.36
395.025	3.39
395.536	3.46
396.046	3.31
396.556	3.24
397.066	3.38
397.576	3.46
398.085	3.43
398.595	3.3
399.104	3.21
399.614	3.29
400.123	3.33
400.632	3.42
401.141	3.25
401.65	3.24
402.159	3.14
402.668	3.2
403.177	3.16
403.685	3.1
404.194	3.12
404.702	3.15
405.21	3.24
405.718	3.16
406.226	3.12
406.734	3.04
407.242	3.12
407.75	3.13
408.257	3.16
408.764	3.02
409.272	2.95
409.779	2.98
410.286	3.04
410.793	3.09
411.3	3.01
411.807	3.02
412.313	2.91
412.82	2.88
413.326	2.83
413.833	2.83
414.339	2.9
414.845	2.91
415.351	3.01
415.857	2.94
416.363	2.9
416.869	2.81
417.374	2.83
417.88	2.79
418.385	2.78
418.89	2.73
419.395	2.74
419.9	2.78
420.405	2.79
420.91	2.77
421.415	2.71
421.919	2.69
422.424	2.69
422.928	2.67
423.433	2.66
423.937	2.67
424.441	2.67
424.945	2.67
425.449	2.68
425.952	2.66
426.456	2.62
426.959	2.54
427.463	2.53
427.966	2.58
428.469	2.63
428.972	2.58
429.475	2.55
429.978	2.54
430.481	2.56
430.983	2.53
431.486	2.46
431.988	2.45
432.491	2.43
432.993	2.45
433.495	2.46
433.997	2.47
434.499	2.45
435.001	2.39
435.502	2.31
436.004	2.29
436.505	2.28
437.007	2.33
437.508	2.32
438.009	2.31
438.51	2.27
439.011	2.27
439.512	2.29
440.012	2.31
440.513	2.32
441.013	2.29
441.514	2.23
442.014	2.24
442.514	2.2
443.014	2.22
443.514	2.23
444.014	2.26
444.514	2.23
445.013	2.18
445.513	2.18
446.012	2.19
446.511	2.21
447.01	2.15
447.509	2.13
448.008	2.09
448.507	2.11
449.006	2.12
449.505	2.09
450.003	2.09
450.502	2.07
451	2.09
451.498	2.07
451.996	2.03
452.494	2.02
452.992	1.98
453.49	2
453.987	1.99
454.485	2
454.982	1.98
455.48	1.97
455.977	1.97
456.474	1.95
456.971	1.97
457.468	1.96
457.965	1.97
458.461	1.92
458.958	1.92
459.454	1.88
459.951	1.87
460.447	1.84
460.943	1.84
461.439	1.83
461.935	1.86
462.431	1.82
462.927	1.82
463.422	1.77
463.918	1.78
464.413	1.77
464.908	1.79
465.404	1.78
465.899	1.76
466.394	1.74
466.888	1.74
467.383	1.75
467.878	1.76
468.372	1.75
468.867	1.75
469.361	1.75
469.855	1.76
470.349	1.73
470.843	1.72
471.337	1.71
471.831	1.7
472.325	1.66
472.818	1.66
473.312	1.65
473.805	1.65
474.298	1.58
474.792	1.59
475.285	1.58
475.777	1.63
476.27	1.63
476.763	1.6
477.256	1.6
477.748	1.58
478.24	1.61
478.733	1.57
479.225	1.57
479.717	1.54
480.209	1.55
480.701	1.53
481.193	1.55
481.684	1.52
482.176	1.49
482.667	1.47
483.158	1.49
483.65	1.51
484.141	1.51
484.632	1.49
485.123	1.46
485.613	1.45
486.104	1.45
486.595	1.44
487.085	1.47
487.576	1.44
488.066	1.45
488.556	1.4
489.046	1.43
489.536	1.41
490.026	1.41
490.515	1.39
491.005	1.36
491.495	1.36
491.984	1.34
492.473	1.34
492.962	1.36
493.452	1.36
493.94	1.35
494.429	1.35
494.918	1.36
495.407	1.35
495.895	1.32
496.384	1.31
496.872	1.3
497.36	1.3
497.848	1.28
498.336	1.27
498.824	1.29
499.312	1.25
499.8	1.26
500.287	1.22
500.775	1.26
501.262	1.25
501.75	1.25
502.237	1.22
502.724	1.21
503.211	1.18
503.698	1.18
504.184	1.18
504.671	1.17
505.158	1.17
505.644	1.18
506.13	1.19
506.616	1.18
507.103	1.17
507.589	1.16
508.074	1.16
508.56	1.16
509.046	1.15
509.532	1.16
510.017	1.16
510.502	1.15
510.988	1.15
511.473	1.12
511.958	1.12
512.443	1.12
512.928	1.11
513.412	1.11
513.897	1.09
514.381	1.08
514.866	1.07
515.35	1.07
515.834	1.08
516.318	1.08
516.802	1.09
517.286	1.07
517.77	1.06
518.254	1.05
518.737	1.06
519.221	1.05
519.704	1.04
520.187	1.05
520.671	1.04
521.154	1.03
521.637	1
522.119	1
522.602	1
523.085	1
523.567	1.01
524.05	0.99
524.532	0.99
525.014	0.99
525.496	0.97
525.978	0.97
526.46	0.95
526.942	0.96
527.424	0.96
527.905	0.97
528.387	0.98
528.868	0.96
529.349	0.95
529.83	0.95
530.311	0.96
530.792	0.95
531.273	0.92
531.754	0.89
532.235	0.89
532.715	0.93
533.195	0.93
533.676	0.9
534.156	0.9
534.636	0.89
535.116	0.91
535.596	0.9
536.076	0.9
536.555	0.9
537.035	0.88
537.514	0.87
537.994	0.88
538.473	0.87
538.952	0.86
539.431	0.85
539.91	0.84
540.389	0.84
540.868	0.83
541.346	0.83
541.825	0.83
542.303	0.85
542.782	0.85
543.26	0.83
543.738	0.81
544.216	0.81
544.694	0.81
545.172	0.81
545.649	0.82
546.127	0.83
546.604	0.81
547.082	0.81
547.559	0.8
548.036	0.8
548.513	0.79
548.99	0.79
549.467	0.79
549.944	0.77
550.421	0.78
550.897	0.77
551.374	0.78
551.85	0.77
552.326	0.77
552.802	0.77
553.278	0.78
553.754	0.77
554.23	0.77
554.706	0.76
555.181	0.76
555.657	0.74
556.132	0.74
556.607	0.74
557.083	0.74
557.558	0.73
